ticker,fund_name,sponsor,active,validation_keywords
ACP,abrdn Income Credit Strategies Fund,abrdn Investments Limited,TRUE
ADX,Adams Diversified Equity Fund,Adams Diversified Equity Fund Inc,TRUE
AFB,AllianceBernstein National Mun Inc,AllianceBernstein L.P.,TRUE
AGD,abrdn Global Dynamic Dividend,abrdn Investments Limited,TRUE
AIO,Virtus AI & Tech Opp Fund,"Virtus Investment Advisers, LLC",TRUE
AOD,abrdn Total Dynamic Dividend,abrdn Investments Limited,TRUE
ARDC,Ares Dynamic Credit Allocation Fund,Ares Capital Management II LLC,TRUE
ASA,ASA Gold and Precious Metals Limited,ASA,TRUE
ASG,Liberty All-Star Growth,ALPS Advisors Inc,TRUE
ASGI,abrdn Global Infrastructure Income Fund,abrdn Inc.,TRUE
AVK,Advent Convertible & Income Fund,"Advent Capital Management, LLC",TRUE
AWF,AllianceBernstein Global High Income,AllianceBernstein L.P.,TRUE
BBN,BlackRock Taxable Municipal Bond Trust,"BlackRock Advisors, LLC",TRUE
BCAT,BlackRock Capital Allocation Term Trust,BlackRock,TRUE
BCX,BlackRock Resources&Commodities Strategy,BlackRock,TRUE
BDJ,BlackRock Enhanced Dividend Achievers,BlackRock,TRUE
BGB,Blackstone Strategic Credit 2027 term,Blackstone Liquid Credit Strategies LLC,TRUE
BGH,Barings Global Short Duration High Yield,Barings LLC,TRUE
BGR,BlackRock Energy and Resources,BlackRock,TRUE
BGT,Blackrock Floating Rate Income,BlackRock,TRUE
BGX,Blackstone Long-Short Credit Income,Blackstone Liquid Credit Strategies LLC,TRUE
BGY,BlackRock Enhanced Intl Div Trust,BlackRock,TRUE
BHK,BlackRock Core Bond,BlackRock,TRUE
BLW,BlackRock Limited Duration Income,BlackRock,TRUE
BME,BlackRock Health Sciences,BlackRock,TRUE
BMEZ,BlackRock Health Sciences Term Trust,BlackRock,TRUE
BOE,BlackRock Enhanced Glbl Div Trust,BlackRock,TRUE
BSL,Blackstone Senior Floating Rt 2027 term,Blackstone Liquid Credit Strategies LLC,TRUE
BST,BlackRock Science and Technology Trust,BlackRock,TRUE
BSTZ,BlackRock Science and Technology Term,BlackRock,TRUE
BTO,JHancock Financial Opportunities,John Hancock Investment Management LLC,TRUE
BTT,BlackRock Municipal 2030 Target Term,BlackRock,TRUE
BTZ,BlackRock Credit Allocation Income Trust,BlackRock,TRUE
BUI,"BlackRock Util, Infra & Power Opp",BlackRock,TRUE
